time,ax,ay,az,wx,wy,wz
2022-02-17 5:51:46.3350 p.m.,0.28,-0.02,-0.27,-0.1,0.02,-0.03
2022-02-17 5:51:46.3410 p.m.,0.42,-0.01,-0.6,0.03,0.13,-0.01
2022-02-17 5:51:46.3510 p.m.,0.27,-0.1,-0.62,0.14,0.17,0.02
2022-02-17 5:51:46.3610 p.m.,0.21,-0.01,-0.49,0.17,0.15,0.02
2022-02-17 5:51:46.3720 p.m.,0.08,0.0,-0.25,0.14,0.09,0.02
2022-02-17 5:51:46.3820 p.m.,-0.09,-0.02,0.0,0.06,-0.0,0.01
2022-02-17 5:51:46.3920 p.m.,-0.18,0.05,0.2,-0.03,-0.08,0.01
2022-02-17 5:51:46.4020 p.m.,-0.26,0.11,0.38,-0.09,-0.14,-0.01
2022-02-17 5:51:46.4120 p.m.,-0.19,0.07,0.29,-0.09,-0.15,-0.02
2022-02-17 5:51:46.4240 p.m.,-0.19,0.07,0.29,-0.05,-0.11,-0.02
2022-02-17 5:51:46.4320 p.m.,-0.06,0.07,0.05,0.02,-0.04,-0.01
2022-02-17 5:51:46.4420 p.m.,0.01,0.07,-0.19,0.09,0.02,-0.01
2022-02-17 5:51:46.4520 p.m.,0.03,0.03,-0.31,0.13,0.07,-0.01
2022-02-17 5:51:46.4630 p.m.,0.06,0.0,-0.32,0.13,0.09,-0.01
2022-02-17 5:51:46.4720 p.m.,0.01,0.02,0.03,0.1,0.09,-0.02
2022-02-17 5:51:46.4800 p.m.,0.01,0.02,0.03,0.07,0.07,-0.02
2022-02-17 5:51:46.4920 p.m.,-0.19,-0.04,0.1,0.03,0.04,-0.0
2022-02-17 5:51:46.5020 p.m.,-0.09,0.06,0.22,-0.0,0.03,0.01
2022-02-17 5:51:46.5120 p.m.,0.01,-0.01,0.12,-0.01,0.02,0.02
2022-02-17 5:51:46.5220 p.m.,0.08,-0.07,0.17,-0.01,0.01,0.02
2022-02-17 5:51:46.5320 p.m.,0.08,-0.07,0.17,-0.0,0.02,0.03
2022-02-17 5:51:46.5420 p.m.,0.0,-0.04,0.07,0.02,0.0,0.02
2022-02-17 5:51:46.5520 p.m.,0.02,0.02,-0.02,0.06,0.01,0.01
2022-02-17 5:51:46.5630 p.m.,-0.08,-0.02,-0.12,0.09,0.03,-0.0
