time,ax,ay,az,wx,wy,wz
2022-02-17 5:48:15.5580 p.m.,-0.15,-0.13,-0.89,-0.54,0.57,0.3
2022-02-17 5:48:15.5690 p.m.,-0.09,-0.14,-0.85,-0.51,0.56,0.33
2022-02-17 5:48:15.5780 p.m.,-0.16,-0.26,-0.77,-0.51,0.52,0.26
2022-02-17 5:48:15.5890 p.m.,-0.26,-0.64,-0.39,-0.52,0.47,0.19
2022-02-17 5:48:15.5990 p.m.,-0.26,-0.64,-0.39,-0.52,0.43,0.14
2022-02-17 5:48:15.6090 p.m.,-0.11,-0.64,-0.2,-0.49,0.38,0.11
2022-02-17 5:48:15.6180 p.m.,-0.08,-0.52,-0.17,-0.45,0.37,0.09
2022-02-17 5:48:15.6290 p.m.,-0.08,-0.52,-0.17,-0.4,0.41,0.07
2022-02-17 5:48:15.6390 p.m.,-0.02,-0.42,-0.4,-0.4,0.41,0.07
2022-02-17 5:48:15.6490 p.m.,0.1,-0.31,-0.69,-0.3,0.61,0.11
2022-02-17 5:48:15.6590 p.m.,0.16,-0.21,-0.98,-0.26,0.75,0.16
2022-02-17 5:48:15.6760 p.m.,0.11,-0.07,-0.89,-0.23,0.83,0.22
2022-02-17 5:48:15.6780 p.m.,0.03,-0.11,-0.52,-0.2,0.82,0.24
2022-02-17 5:48:15.6890 p.m.,-0.17,-0.27,-0.17,-0.2,0.7,0.21
2022-02-17 5:48:15.6990 p.m.,-0.36,-0.51,0.27,-0.24,0.53,0.12
2022-02-17 5:48:15.7100 p.m.,-0.31,-0.64,0.53,-0.3,0.36,0.03
2022-02-17 5:48:15.7190 p.m.,-0.31,-0.64,0.53,-0.34,0.25,-0.05
2022-02-17 5:48:15.7300 p.m.,0.07,-0.56,-0.06,-0.32,0.21,-0.1
2022-02-17 5:48:15.7400 p.m.,0.07,-0.56,-0.06,-0.26,0.29,-0.13
2022-02-17 5:48:15.7490 p.m.,0.2,-0.33,-1.38,-0.22,0.52,-0.1
2022-02-17 5:48:15.7600 p.m.,0.34,-0.16,-1.76,-0.19,0.81,-0.04
2022-02-17 5:48:15.7690 p.m.,0.5,-0.05,-1.87,-0.17,1.09,0.02
2022-02-17 5:48:15.7800 p.m.,0.4,-0.03,-1.74,-0.17,1.31,0.04
2022-02-17 5:48:15.7900 p.m.,0.4,-0.03,-1.74,-0.17,1.48,0.03
2022-02-17 5:48:15.8000 p.m.,0.16,-0.38,-1.05,-0.14,1.6,-0.02
2022-02-17 5:48:15.8100 p.m.,0.21,-0.6,-0.82,-0.07,1.66,-0.1
2022-02-17 5:48:15.8200 p.m.,0.2,-0.84,-0.78,0.07,1.66,-0.22
2022-02-17 5:48:15.8300 p.m.,0.2,-1.0,-0.82,0.22,1.56,-0.37
2022-02-17 5:48:15.8400 p.m.,0.17,-1.0,-0.82,0.33,1.47,-0.47
2022-02-17 5:48:15.8500 p.m.,0.0,-0.95,-0.85,0.4,1.5,-0.54
2022-02-17 5:48:15.8600 p.m.,0.31,-0.92,-1.46,0.43,1.63,-0.6
2022-02-17 5:48:15.8700 p.m.,0.54,-0.81,-1.79,0.42,1.83,-0.67
2022-02-17 5:48:15.8800 p.m.,0.47,-0.79,-1.79,0.36,1.99,-0.75
2022-02-17 5:48:15.8910 p.m.,0.47,-0.79,-1.79,0.26,2.08,-0.81
2022-02-17 5:48:15.9000 p.m.,0.21,-0.76,-1.08,0.15,2.16,-0.82
2022-02-17 5:48:15.9100 p.m.,0.21,-0.76,-1.08,0.01,2.14,-0.86
2022-02-17 5:48:15.9210 p.m.,0.03,-0.61,-0.29,-0.13,2.0,-0.9
2022-02-17 5:48:15.9310 p.m.,0.03,-0.61,-0.29,-0.23,1.79,-0.98
2022-02-17 5:48:15.9400 p.m.,0.06,-1.37,0.07,-0.23,1.66,-1.11
2022-02-17 5:48:15.9500 p.m.,0.06,-1.37,0.07,-0.12,1.67,-1.25
2022-02-17 5:48:15.9600 p.m.,0.25,-1.68,-0.72,0.09,1.86,-1.34
2022-02-17 5:48:15.9700 p.m.,0.66,-1.44,-2.54,0.3,2.26,-1.41
2022-02-17 5:48:15.9800 p.m.,0.66,-1.44,-2.54,0.36,2.72,-1.47
2022-02-17 5:48:15.9900 p.m.,0.45,-1.14,-2.66,0.36,3.06,-1.52
2022-02-17 5:48:16.0000 p.m.,0.41,-1.05,-1.75,0.33,3.17,-1.64
2022-02-17 5:48:16.0100 p.m.,0.16,-1.39,-0.95,0.28,3.04,-1.84
2022-02-17 5:48:16.0210 p.m.,-0.47,-2.2,0.92,0.23,2.76,-2.1
2022-02-17 5:48:16.0310 p.m.,-0.47,-2.2,0.92,0.23,2.52,-2.35
2022-02-17 5:48:16.0410 p.m.,-0.48,-2.46,1.59,0.42,2.53,-2.56
2022-02-17 5:48:16.0510 p.m.,-0.04,-2.64,1.35,0.74,2.74,-2.69
2022-02-17 5:48:16.0610 p.m.,0.46,-2.65,-0.05,0.74,2.74,-2.69
2022-02-17 5:48:16.0710 p.m.,-0.17,-1.91,-0.65,1.27,3.28,-2.98
2022-02-17 5:48:16.0880 p.m.,-0.82,-1.96,0.13,1.41,3.62,-3.12
2022-02-17 5:48:16.0890 p.m.,-0.82,-1.96,0.13,1.52,3.86,-3.25
2022-02-17 5:48:16.0990 p.m.,-1.27,-1.9,1.14,1.65,3.95,-3.41
2022-02-17 5:48:16.1100 p.m.,-1.27,-1.9,1.14,1.76,3.84,-3.57
2022-02-17 5:48:16.1200 p.m.,-1.97,-1.87,2.41,1.84,3.5,-3.7
2022-02-17 5:48:16.1300 p.m.,-1.97,-1.87,2.41,1.86,3.02,-3.82
2022-02-17 5:48:16.1410 p.m.,-3.64,-1.18,3.88,1.78,2.53,-3.91
2022-02-17 5:48:16.1510 p.m.,-3.64,-1.18,3.88,1.64,2.07,-3.96
2022-02-17 5:48:16.1610 p.m.,-4.28,-0.95,4.33,1.48,1.71,-3.93
2022-02-17 5:48:16.1710 p.m.,-4.43,-0.78,4.41,1.34,1.45,-3.82
2022-02-17 5:48:16.1810 p.m.,-4.52,-0.13,3.55,1.23,1.2,-3.67
2022-02-17 5:48:16.1910 p.m.,-4.72,0.15,3.12,1.16,0.94,-3.48
2022-02-17 5:48:16.2010 p.m.,-4.71,0.44,2.48,1.11,0.77,-3.23
2022-02-17 5:48:16.2110 p.m.,-4.71,0.44,2.48,1.1,0.77,-2.98
2022-02-17 5:48:16.2210 p.m.,-4.59,0.64,1.83,1.11,0.84,-2.72
2022-02-17 5:48:16.2310 p.m.,-4.59,0.75,1.19,1.14,0.99,-2.47
2022-02-17 5:48:16.2410 p.m.,-4.24,0.8061067977547646,0.1670818483829498,1.17,1.2,-2.27
2022-02-17 5:48:16.2520 p.m.,-3.96,0.8,0.16,1.19,1.37,-2.12
2022-02-17 5:48:16.2610 p.m.,-4.34,0.93,-0.09,1.18,1.47,-1.98
2022-02-17 5:48:16.2710 p.m.,-4.54,0.8726963514089585,0.16,1.14,1.48,-1.82
2022-02-17 5:48:16.2810 p.m.,-4.32,0.87,0.16,1.14,1.48,-1.82
2022-02-17 5:48:16.2920 p.m.,-3.91,0.72,0.28,1.03,1.54,-1.52
2022-02-17 5:48:16.3020 p.m.,-3.0932846689224243,0.36,0.62,0.91,1.38,-1.41
2022-02-17 5:48:16.3120 p.m.,-3.16,0.07,0.9,0.8,1.14,-1.37
2022-02-17 5:48:16.3220 p.m.,-3.16,0.07,0.9,0.74,0.88,-1.35
2022-02-17 5:48:16.3320 p.m.,-2.9,-0.31,0.64,0.73,0.6,-1.32
2022-02-17 5:48:16.3420 p.m.,-2.9,-0.1521115145087242,0.5346025948226452,0.78,0.39,-1.24
2022-02-17 5:48:16.3520 p.m.,-2.58,-0.16,0.53,0.78,0.39,-1.24
2022-02-17 5:48:16.3620 p.m.,-2.23,0.08,0.28,1.0,0.1,-1.03
2022-02-17 5:48:16.3720 p.m.,-1.88,0.24,-0.03,1.0,0.1,-1.03
2022-02-17 5:48:16.3820 p.m.,-1.56,0.69,-0.58,1.35,-0.05,-0.73
2022-02-17 5:48:16.3920 p.m.,-0.96,1.0,-1.03,1.35,-0.05,-0.73
2022-02-17 5:48:16.4030 p.m.,-0.36,1.47,-1.82,1.62,0.14,-0.33
2022-02-17 5:48:16.4120 p.m.,-0.36,1.47,-1.82,1.66,0.37,-0.23
2022-02-17 5:48:16.4220 p.m.,-0.17,0.63,-2.61,1.6,0.64,-0.22
2022-02-17 5:48:16.4320 p.m.,-0.03,0.03,-2.47,1.43,0.67,-0.34
2022-02-17 5:48:16.4420 p.m.,-0.29,-0.57,-1.1,1.21,0.48,-0.48
2022-02-17 5:48:16.4520 p.m.,-0.23,-0.26,-0.27,1.03,0.3,-0.59
2022-02-17 5:48:16.4620 p.m.,-0.23,-0.26,-0.27,0.91,0.18,-0.64
2022-02-17 5:48:16.4730 p.m.,-0.24,0.07,-0.52,0.91,0.18,-0.64
2022-02-17 5:48:16.4820 p.m.,-0.01,0.27,-0.66,1.29,-0.21,-0.59
2022-02-17 5:48:16.4920 p.m.,0.55,0.78,-0.78,1.45,-0.2,-0.51
2022-02-17 5:48:16.5020 p.m.,0.55,0.78,-0.78,1.5,-0.1,-0.43
2022-02-17 5:48:16.5120 p.m.,0.52,0.26,-1.0,1.52,-0.04,-0.38
2022-02-17 5:48:16.5230 p.m.,0.71,0.03,-0.51,1.5,-0.03,-0.38
2022-02-17 5:48:16.5340 p.m.,0.71,0.03,-0.51,1.43,-0.1,-0.41
2022-02-17 5:48:16.5430 p.m.,0.59,0.17,-0.14,1.3,-0.22,-0.45
2022-02-17 5:48:16.5520 p.m.,0.6,0.39,-0.07,1.01,-0.22,-0.46
2022-02-17 5:48:16.5630 p.m.,0.7,0.77,-0.25,0.69,-0.25,-0.42
2022-02-17 5:48:16.5730 p.m.,0.88,1.47,-0.82,0.34,-0.24,-0.36
2022-02-17 5:48:16.5830 p.m.,0.81,1.85,-1.03,0.02,-0.17,-0.3
2022-02-17 5:48:16.5930 p.m.,0.63,2.11,-1.17,-0.11,-0.16,-0.31
2022-02-17 5:48:16.6030 p.m.,0.3,2.05,-1.46,-0.13,-0.23,-0.39
2022-02-17 5:48:16.6130 p.m.,0.14,0.03,-1.04,-0.09,-0.35,-0.43
2022-02-17 5:48:16.6230 p.m.,0.14,0.03,-1.04,-0.0,-0.31,-0.3
2022-02-17 5:48:16.6330 p.m.,1.15,0.61,-0.41,0.23,-0.13,-0.18
2022-02-17 5:48:16.6430 p.m.,1.15,0.61,-0.41,0.5,0.0,-0.13
2022-02-17 5:48:16.6520 p.m.,0.32,0.49,-0.8,0.69,-0.04,-0.11
2022-02-17 5:48:16.6620 p.m.,-0.12,0.39,0.11,0.69,-0.18,-0.18
2022-02-17 5:48:16.6730 p.m.,-0.2476699286699295,0.34,0.48,0.56,-0.46,-0.29
2022-02-17 5:48:16.6830 p.m.,-0.25,0.34,0.48,0.36,-0.68,-0.39
2022-02-17 5:48:16.6940 p.m.,-0.03,0.37,0.7,0.16,-0.72,-0.43
2022-02-17 5:48:16.7030 p.m.,0.17,0.42,0.41,0.04,-0.61,-0.44
2022-02-17 5:48:16.7130 p.m.,0.37,0.74,-0.38,-0.02,-0.44,-0.47
2022-02-17 5:48:16.7230 p.m.,0.14,0.93,-1.15,-0.02,-0.44,-0.47
2022-02-17 5:48:16.7340 p.m.,-0.1,0.62,-1.03,0.09,-0.37,-0.6
2022-02-17 5:48:16.7440 p.m.,-0.28,0.33,-0.64,0.18,-0.44,-0.62
2022-02-17 5:48:16.7530 p.m.,0.02,0.47,-0.31,0.26,-0.38,-0.52
2022-02-17 5:48:16.7640 p.m.,0.02,0.47,-0.31,0.34,-0.21,-0.38
2022-02-17 5:48:16.7740 p.m.,0.17,0.9,-0.15,0.48,-0.09,-0.29
2022-02-17 5:48:16.7840 p.m.,-0.34,0.92,-0.23,0.59,-0.17,-0.27
2022-02-17 5:48:16.7940 p.m.,-0.39,0.82,0.01,0.59,-0.17,-0.27
2022-02-17 5:48:16.8040 p.m.,-0.39,0.82,0.01,0.4,-0.53,-0.41
2022-02-17 5:48:16.8140 p.m.,-0.05,0.65,0.6,0.3,-0.56,-0.48
2022-02-17 5:48:16.8240 p.m.,0.04,0.61,0.5,0.33,-0.46,-0.47
2022-02-17 5:48:16.8340 p.m.,0.22,0.56,0.47,0.43,-0.25,-0.45
2022-02-17 5:48:16.8440 p.m.,0.22,0.56,0.47,0.45,0.01,-0.45
2022-02-17 5:48:16.8540 p.m.,0.27,0.4,0.18,0.45,0.01,-0.45
2022-02-17 5:48:16.8640 p.m.,0.21,0.59,-0.22,0.26,0.13,-0.48
2022-02-17 5:48:16.8740 p.m.,0.02,0.82,-0.2,0.16,-0.08,-0.55
2022-02-17 5:48:16.8840 p.m.,-0.14,0.36,-0.06,0.14,-0.27,-0.58
2022-02-17 5:48:16.8940 p.m.,-0.03,0.53,-0.14,0.12,-0.25,-0.57
2022-02-17 5:48:16.9040 p.m.,-0.03,0.62,-0.78,0.22,-0.07,-0.56
