time,ax,ay,az,wx,wy,wz
2022-02-17 5:46:32.2530 p.m.,-0.01,-0.02,-0.49,-0.17,0.54,-0.13
2022-02-17 5:46:32.2660 p.m.,-0.02,0.86,-1.55,-0.17,0.54,-0.13
2022-02-17 5:46:32.2730 p.m.,-0.24,0.91,-1.11,0.05,0.59,0.03
2022-02-17 5:46:32.2840 p.m.,-0.26,0.71,-0.48,0.07,0.42,0.04
2022-02-17 5:46:32.2940 p.m.,-0.28,0.67,0.34,-0.01,0.17,0.02
2022-02-17 5:46:32.3040 p.m.,-0.36,0.67,0.89,-0.14,-0.03,0.05
2022-02-17 5:46:32.3140 p.m.,-0.14,0.92,0.79,-0.27,-0.18,0.06
2022-02-17 5:46:32.3240 p.m.,-0.07,0.89,0.61,-0.34,-0.26,0.06
2022-02-17 5:46:32.3340 p.m.,0,0.89,0.29,-0.36,-0.24,0.08
2022-02-17 5:46:32.3450 p.m.,0.14,1.02,-0.06,-0.33,-0.16,0.13
2022-02-17 5:46:32.3540 p.m.,0.3,1.07,-0.3,-0.27,-0.06,0.16
2022-02-17 5:46:32.3640 p.m.,0.38,0.95,-0.37,-0.19,0.04,0.18
2022-02-17 5:46:32.3740 p.m.,0.49,0.87,-0.38,-0.13,0.12,0.18
2022-02-17 5:46:32.3840 p.m.,0.57,0.82,-0.28,-0.1,0.16,0.16
2022-02-17 5:46:32.3950 p.m.,0.53,0.7,-0.03,-0.11,0.14,0.13
2022-02-17 5:46:32.4040 p.m.,0.51,0.63,0.24,-0.14,0.1,0.11
2022-02-17 5:46:32.4140 p.m.,0.49,0.67,0.38,-0.17,0.05,0.09
2022-02-17 5:46:32.4240 p.m.,0.43,0.68,0.44,-0.2,0,0.09
2022-02-17 5:46:32.4340 p.m.,0.37,0.7,0.42,-0.22,-0.04,0.1
2022-02-17 5:46:32.4440 p.m.,0.35,0.72,0.32,-0.23,-0.07,0.11
2022-02-17 5:46:32.4540 p.m.,0.32,0.69,0.2,-0.22,-0.09,0.11
2022-02-17 5:46:32.4650 p.m.,0.31,0.59,0.08,-0.17,-0.13,0.1
2022-02-17 5:46:32.4750 p.m.,0.35,0.51,-0.06,-0.1,-0.15,0.07
2022-02-17 5:46:32.4840 p.m.,0.45,0.52,-0.27,-0.05,-0.15,0.04
2022-02-17 5:46:32.4950 p.m.,0.55,0.58,-0.52,0.01,-0.12,0.01
2022-02-17 5:46:32.5050 p.m.,0.62,0.7,-0.79,0.03,-0.07,0.01
2022-02-17 5:46:32.5150 p.m.,0.7,0.85,-0.93,0.04,-0.03,0.01
2022-02-17 5:46:32.5250 p.m.,0.75,0.95,-0.96,0.04,-0.01,-0.01
2022-02-17 5:46:32.5350 p.m.,0.71,0.94,-0.92,0.03,-0.02,-0.03
2022-02-17 5:46:32.5450 p.m.,0.71,0.95,-0.88,0,-0.02,-0.05
2022-02-17 5:46:32.5550 p.m.,0.7,1.01,-0.9,-0.03,-0.01,-0.06
2022-02-17 5:46:32.5650 p.m.,0.7,1.1,-0.93,-0.06,0.02,-0.06
2022-02-17 5:46:32.5750 p.m.,0.73,1.17,-0.92,-0.09,0.05,-0.05
2022-02-17 5:46:32.5850 p.m.,0.69,1.21,-0.81,-0.11,0.07,-0.04
2022-02-17 5:46:32.5950 p.m.,0.6,1.26,-0.63,-0.11,0.08,-0.02
