time,ax,ay,az,wx,wy,wz
2022-02-17 5:50:23.9280 p.m.,-0.82,0.11,-0.33,0.12,0.24,0.4
2022-02-17 5:50:23.9390 p.m.,-0.7,0.11,-0.38,0.12,0.24,0.4
2022-02-17 5:50:23.9490 p.m.,-0.65,0.1,-0.37,0.09,0.24,0.4
2022-02-17 5:50:23.9590 p.m.,-0.56,0.11,-0.34,0.05,0.21,0.39
2022-02-17 5:50:23.9690 p.m.,-0.49,0.12,-0.26,0.02,0.18,0.37
2022-02-17 5:50:23.9790 p.m.,-0.41,0.09,-0.21,-0.0,0.17,0.37
2022-02-17 5:50:23.9890 p.m.,-0.34,0.07,-0.25,-0.0,0.19,0.35
2022-02-17 5:50:23.9990 p.m.,-0.23,0.06,-0.37,-0.0,0.22,0.33
2022-02-17 5:50:24.0090 p.m.,-0.08,0.24,-0.43,0.0,0.26,0.33
2022-02-17 5:50:24.0190 p.m.,-0.08,0.24,-0.43,0.02,0.29,0.34
2022-02-17 5:50:24.0290 p.m.,0.0,0.3,-0.37,0.08,0.26,0.37
2022-02-17 5:50:24.0390 p.m.,0.01,0.35,-0.19,0.14,0.22,0.41
2022-02-17 5:50:24.0490 p.m.,-0.07,0.36,0.06,0.25,0.22,0.46
2022-02-17 5:50:24.0590 p.m.,-0.08,0.39,0.14,0.37,0.26,0.51
2022-02-17 5:50:24.0690 p.m.,-0.05,0.42,0.13,0.45,0.32,0.55
2022-02-17 5:50:24.0790 p.m.,-0.03,0.3,0.11,0.46,0.38,0.56
2022-02-17 5:50:24.0890 p.m.,0.05,0.2,0.16,0.41,0.48,0.56
2022-02-17 5:50:24.1000 p.m.,0.15,0.14,0.2,0.32,0.5,0.56
2022-02-17 5:50:24.1090 p.m.,0.08,0.06,0.38,0.26,0.41,0.55
2022-02-17 5:50:24.1190 p.m.,0.23,0.12,0.65,0.24,0.31,0.54
2022-02-17 5:50:24.1300 p.m.,0.24,0.19,0.74,0.27,0.25,0.56
2022-02-17 5:50:24.1400 p.m.,0.15,0.14,0.53,0.3,0.24,0.62
2022-02-17 5:50:24.1490 p.m.,0.22,0.11,0.17,0.29,0.28,0.67
2022-02-17 5:50:24.1600 p.m.,0.39,0.11,-0.14,0.25,0.33,0.72
2022-02-17 5:50:24.1690 p.m.,0.41,0.09,-0.37,0.17,0.36,0.72
2022-02-17 5:50:24.1800 p.m.,0.53,0.29,-0.51,0.09,0.41,0.7
2022-02-17 5:50:24.1900 p.m.,0.62,0.5,-0.58,-0.02,0.42,0.68
2022-02-17 5:50:24.2000 p.m.,0.7,0.57,-0.49,-0.16,0.38,0.66
2022-02-17 5:50:24.2100 p.m.,0.66,0.37,-0.31,-0.33,0.29,0.64
2022-02-17 5:50:24.2200 p.m.,0.5,0.15,0.01,-0.51,0.27,0.63
2022-02-17 5:50:24.2300 p.m.,0.5,0.1,-0.03,-0.69,0.32,0.64
2022-02-17 5:50:24.2400 p.m.,0.65,0.12,-0.37,-0.85,0.37,0.66
2022-02-17 5:50:24.2500 p.m.,0.66,0.22,-0.59,-0.9,0.38,0.68
2022-02-17 5:50:24.2600 p.m.,0.6,0.45,-0.56,-0.81,0.34,0.72
2022-02-17 5:50:24.2700 p.m.,0.57,0.78,-0.52,-0.59,0.37,0.77
2022-02-17 5:50:24.2800 p.m.,0.57,0.9,-0.64,-0.33,0.45,0.85
2022-02-17 5:50:24.2900 p.m.,0.71,0.96,-0.96,-0.11,0.52,0.87
2022-02-17 5:50:24.3000 p.m.,0.86,0.74,-0.98,0.01,0.53,0.8
2022-02-17 5:50:24.3100 p.m.,0.69,0.22,-0.74,0.01,0.51,0.69
2022-02-17 5:50:24.3200 p.m.,0.59,-0.14,-0.4,-0.06,0.48,0.58
2022-02-17 5:50:24.3300 p.m.,0.71,-0.09,-0.26,-0.17,0.43,0.49
2022-02-17 5:50:24.3400 p.m.,0.78,0.2,-0.21,-0.23,0.37,0.44
2022-02-17 5:50:24.3510 p.m.,0.8,0.55,-0.12,-0.24,0.28,0.44
2022-02-17 5:50:24.3600 p.m.,0.79,0.87,-0.03,-0.24,0.2,0.46
2022-02-17 5:50:24.3710 p.m.,0.76,0.96,-0.04,-0.24,0.13,0.48
2022-02-17 5:50:24.3810 p.m.,0.72,0.93,-0.01,-0.26,0.09,0.49
2022-02-17 5:50:24.3900 p.m.,0.51,0.83,0.05,-0.26,0.1,0.5
2022-02-17 5:50:24.4000 p.m.,0.42,0.79,-0.04,-0.26,0.12,0.48
2022-02-17 5:50:24.4110 p.m.,0.49,0.54,-0.24,-0.25,0.14,0.45
2022-02-17 5:50:24.4210 p.m.,0.49,0.54,-0.24,-0.24,0.15,0.42
2022-02-17 5:50:24.4310 p.m.,0.44,0.67,-0.07,-0.23,0.15,0.43
2022-02-17 5:50:24.4410 p.m.,0.25,0.75,-0.12,-0.27,0.12,0.45
2022-02-17 5:50:24.4510 p.m.,0.23,0.78,-0.14,-0.31,0.06,0.46
2022-02-17 5:50:24.4610 p.m.,0.22,0.91,0.12,-0.29,-0.03,0.45
2022-02-17 5:50:24.4710 p.m.,0.22,0.8,0.12,-0.2,-0.06,0.43
2022-02-17 5:50:24.4810 p.m.,0.31,0.73,-0.07,-0.09,-0.03,0.4
2022-02-17 5:50:24.4910 p.m.,0.35,0.75,-0.35,0.01,0.05,0.39
2022-02-17 5:50:24.5010 p.m.,0.4,0.77,-0.61,0.09,0.17,0.41
2022-02-17 5:50:24.5110 p.m.,0.4,0.95,-0.86,0.12,0.3,0.44
2022-02-17 5:50:24.5210 p.m.,0.34,1.12,-0.9,0.12,0.43,0.47
2022-02-17 5:50:24.5310 p.m.,0.23,1.17,-0.79,0.12,0.43,0.47
2022-02-17 5:50:24.5410 p.m.,0.16,1.17,-0.65,0.09,0.66,0.43
2022-02-17 5:50:24.5510 p.m.,0.11,1.05,-0.52,0.08,0.77,0.35
2022-02-17 5:50:24.5580 p.m.,0.07,0.92,-0.51,0.1,0.84,0.26
2022-02-17 5:50:24.5690 p.m.,0.05,0.85,-0.49,0.11,0.86,0.17
2022-02-17 5:50:24.5820 p.m.,-0.06,0.82,-0.57,0.12,0.81,0.12
2022-02-17 5:50:24.5920 p.m.,-0.07,0.86,-0.65,0.09,0.72,0.16
2022-02-17 5:50:24.6020 p.m.,0.28,1.06,-0.52,0.03,0.7,0.25
2022-02-17 5:50:24.6110 p.m.,0.69,1.39,-0.36,-0.03,0.72,0.36
2022-02-17 5:50:24.6220 p.m.,0.62,1.52,-0.22,-0.06,0.74,0.42
2022-02-17 5:50:24.6320 p.m.,0.31,1.46,0.01,-0.06,0.74,0.42
2022-02-17 5:50:24.6420 p.m.,-0.22,1.08,-0.07,-0.05,0.7,0.35
2022-02-17 5:50:24.6520 p.m.,-0.22,1.08,-0.07,-0.01,0.61,0.22
2022-02-17 5:50:24.6620 p.m.,-0.18,0.83,-0.23,0.07,0.5,0.01
2022-02-17 5:50:24.6720 p.m.,-0.2,0.52,-0.22,0.18,0.37,-0.21
2022-02-17 5:50:24.6830 p.m.,-0.24,0.19,-0.26,0.29,0.3,-0.35
2022-02-17 5:50:24.6920 p.m.,0.08,0.24,-0.21,0.41,0.34,-0.47
2022-02-17 5:50:24.7030 p.m.,0.08,0.24,-0.21,0.57,0.64,-0.73
2022-02-17 5:50:24.7120 p.m.,-0.46,-0.23,-1.01,0.65,0.81,-0.84
2022-02-17 5:50:24.7230 p.m.,-0.46,-0.23,-1.01,0.52,0.94,-0.6
2022-02-17 5:50:24.7330 p.m.,0.65,1.88,0.81,0.33,0.93,-0.24
2022-02-17 5:50:24.7420 p.m.,1.54,3.01,1.82,0.2,0.9,0.12
2022-02-17 5:50:24.7530 p.m.,1.58,2.64,1.68,0.12,0.89,0.39
2022-02-17 5:50:24.7630 p.m.,1.05,1.9,1.38,0.08,0.87,0.51
2022-02-17 5:50:24.7730 p.m.,-0.94,1.05,1.46,0.05,0.75,0.54
2022-02-17 5:50:24.7830 p.m.,-1.22,0.47,2.44,-0.03,0.34,0.47
2022-02-17 5:50:24.7930 p.m.,-1.22,0.47,2.44,-0.05,-0.06,0.35
2022-02-17 5:50:24.8030 p.m.,-1.1,-0.04,2.93,-0.06,-0.32,0.25
2022-02-17 5:50:24.8120 p.m.,-0.6,0.05,1.9,-0.09,-0.46,0.18
2022-02-17 5:50:24.8230 p.m.,-0.6,0.05,1.9,-0.09,-0.46,0.1497873663902282
2022-02-17 5:50:24.8330 p.m.,-0.3,0.19,1.38,-0.14,-0.34,0.17
